DATAFLOW,LAST UPDATE,freq,indic_em,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2010,12.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2011,11.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2012,11.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2013,10.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2014,7.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2015,8.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2016,9.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2017,9.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2018,10.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2019,10.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2020,11.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2021,11.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2022,10.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2023,9.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CY,2024,10.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2009,18.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2010,18.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2011,18.2,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2012,17.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2013,17.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2014,17.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2015,16.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2016,16.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2017,15.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2018,15.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2019,15.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2020,15.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2021,15.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2022,14.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2023,13.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CZ,2024,12.6,,
